id,text,proposed_label,category,cue,reason,family_id,variant_type,source,review_status,reviewer,review_note,clean_reference_text,asr_noise_note,attention_note,label_before_review,label
CV03_013,"Đang vệ sinh loa thì rút dây nguồn trước, đừng xịt nước vào các khe phía sau nhé.",KHONG_CANH_BAO,CHONG_NUOC_LOA,đừng xịt nước,"Giới hạn sử dụng thận trọng, không khẳng định sản phẩm chịu nước.",CV03_F005,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_014,"Loa dã ngoại chịu được tia nước theo mức IPX5 mà hãng công bố, hồ sơ kiểm tra cần đúng mã loa này.",CAN_XAC_MINH,CHONG_NUOC_LOA,chịu được tia nước; IPX5,Tuyên bố cấp bảo vệ cần đối chiếu chứng từ và đúng mã sản phẩm.,CV03_F005,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,"Đối chiếu đúng IPX5 và tia nước, không suy diễn thành ngâm nước.",CAN_XAC_MINH,CAN_XAC_MINH
CV03_015,Loa vừa vào nước đã chập mà em vẫn lấy đoạn quay loa khác ngâm bể để bán như thể mẫu này ngâm được.,CANH_BAO,CHONG_NUOC_LOA,lấy đoạn quay loa khác,Biết sản phẩm hỏng do nước nhưng dùng video khác để đánh lừa khách.,CV03_F005,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_016,"Khay này có phần nắp rời, trước khi cho vào lò các bác đọc riêng hướng dẫn của nắp và thân khay.",KHONG_CANH_BAO,CHIU_NHIET_KHAY,đọc riêng hướng dẫn,"Chỉ yêu cầu kiểm tra điều kiện sử dụng từng bộ phận, chưa bảo đảm mức chịu nhiệt.",CV03_F006,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,Chỉ yêu cầu đọc hướng dẫn từng bộ phận; phân biệt với câu 17 khẳng định mức nhiệt.,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_017,"Thân khay chịu được hai trăm độ C trong nửa giờ theo công bố của bên sản xuất, em sẽ cung cấp phiếu thư.",CAN_XAC_MINH,CHIU_NHIET_KHAY,hai trăm độ C trong nửa giờ,Giới hạn nhiệt và thời gian là thông số khách quan cần xác minh.,CV03_F006,ASR_LIKE,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,"Thân khay chịu được hai trăm độ C trong nửa giờ theo công bố của bên sản xuất, em sẽ cung cấp phiếu thử.",Nhiễu ASR giả lập: phiếu thử → phiếu thư; không đổi dấu hiệu quyết định nhãn.,,CAN_XAC_MINH,CAN_XAC_MINH
CV03_018,Nắp khay đã chảy trong lần thử nóng nhưng em cắt đoạn đó khỏi video rồi khuyên khách cứ cho cả nắp vào lò.,CANH_BAO,CHIU_NHIET_KHAY,cắt đoạn đó khỏi video,Che giấu thử nghiệm thất bại và hướng dẫn sử dụng có nguy cơ gây hại.,CV03_F006,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_019,"Tấm che cửa xe gấp lại theo đường nếp này, em làm chậm để các bác nhìn rõ cách cất.",KHONG_CANH_BAO,CAN_SANG_TAM_CHE,nhìn rõ cách cất,"Hướng dẫn gấp và cất sản phẩm, không nêu mức cản sáng.",CV03_F007,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_020,"Tấm che kính xe giảm bảy mươi lăm phần trăm ánh sáng trong phép đo này, cần đối chiếu loại kín thử cùng nó.",CAN_XAC_MINH,CAN_SANG_TAM_CHE,bảy mươi lăm phần trăm ánh sáng,Tuyên bố hiệu quả cản sáng có điều kiện vẫn cần xác minh phép đo.,CV03_F007,ASR_LIKE,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,"Tấm che kính xe giảm bảy mươi lăm phần trăm ánh sáng trong phép đo này, cần đối chiếu loại kính thử cùng nó.",Nhiễu ASR giả lập: loại kính → loại kín; không đổi dấu hiệu quyết định nhãn.,Cản sáng định lượng vẫn cần xác minh dù đã giới hạn loại kính thử.,CAN_XAC_MINH,CAN_XAC_MINH
CV03_021,Để bán tấm che kính em hạ sáng máy quay ở cảnh sau rồi nói mức tối đi đó hoàn toàn do sản phẩm.,CANH_BAO,CAN_SANG_TAM_CHE,hạ sáng máy quay,Can thiệp điều kiện quay rồi gán sai hiệu quả cho sản phẩm.,CV03_F007,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_022,"Các bác nhìn mép tấm thảm em đang cuộn, đường viền chạy vòng quanh cả bốn cạnh.",KHONG_CANH_BAO,CHAT_LIEU_THAM,đường viền,"Mô tả bộ phận nhìn thấy, không khẳng định thành phần sợi.",CV03_F008,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_023,"Sợi len chiếm tám mươi phần trăm trong tấm thảm này, em đang xin phiếu phân tích thành phần để đối chiếu.",CAN_XAC_MINH,CHAT_LIEU_THAM,len chiếm tám mươi phần trăm,Khẳng định tỷ lệ chất liệu cần phân tích; đang xin phiếu chưa đủ xác nhận.,CV03_F008,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CAN_XAC_MINH,CAN_XAC_MINH
CV03_024,Xưởng báo thảm làm từ sợi nhựa mà em cất nhản đi rồi giới thiệu là len cừu để lấy giá cao hơn.,CANH_BAO,CHAT_LIEU_THAM,sợi nhựa; giới thiệu là len cừu,Biết thành phần thực nhưng che nhãn và nói sai chất liệu.,CV03_F008,ASR_LIKE,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,Xưởng báo thảm làm từ sợi nhựa mà em cất nhãn đi rồi giới thiệu là len cừu để lấy giá cao hơn.,Nhiễu ASR giả lập: nhãn đi → nhản đi; không đổi dấu hiệu quyết định nhãn.,,CANH_BAO,CANH_BAO
CV03_025,"Ai dị ứng hạt thì đọc danh sách nguyên liệu trên lon ngũ cốc trước, em không chọn hộ cho mình được.",KHONG_CANH_BAO,THANH_PHAN_NGU_COC,dị ứng hạt; đọc danh sách,"Khuyến nghị kiểm tra thành phần theo nhu cầu cá nhân, không cam kết an toàn.",CV03_F009,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_026,"Trong một khẩu phần ngũ cốc có mười hai gam chất đạm theo bảng dinh dưỡng của hãng, chị đối chiếu định lượng khẩu phần nhé.",CAN_XAC_MINH,THANH_PHAN_NGU_COC,mười hai gam chất đạm,"Hàm lượng dinh dưỡng cần đối chiếu nhãn, khẩu phần và dữ liệu kiểm nghiệm.",CV03_F009,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,Hàm lượng dinh dưỡng là số liệu cần đối chiếu; phân biệt với hướng dẫn đọc nhãn ở câu 25.,CAN_XAC_MINH,CAN_XAC_MINH
CV03_027,Mẻ ngũ cốc có đậu phộng nhưng em bỏ tên nó khỏi nhãn để người dị ứng cũng tưởng là dùng được.,CANH_BAO,THANH_PHAN_NGU_COC,bỏ tên nó khỏi nhãn,"Cố ý giấu thành phần gây dị ứng, tạo nguy cơ cho người mua.",CV03_F009,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_028,"Em đưa đáy hộp dao lại gần camera để chị đọc dòng nơi sản xuất, hình lá cờ trang trí chưa nói lên nguồn gốc.",KHONG_CANH_BAO,XUAT_XU_DAO,hình lá cờ trang trí,"Hướng dẫn đọc thông tin xuất xứ, không tự xác nhận nguồn gốc qua trang trí.",CV03_F010,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_029,"Lô dao được gia công tại Đức rồi nhập về qua đơn vị này, mình có thể đối chiếu tờ khai với mã lô.",CAN_XAC_MINH,XUAT_XU_DAO,gia công tại Đức,Tuyên bố nơi gia công và nhập khẩu cần chứng từ đúng lô.,CV03_F010,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,Nguồn gia công và đơn vị nhập cần tài liệu; chưa có dấu hiệu nói dối trong câu.,CAN_XAC_MINH,CAN_XAC_MINH
CV03_030,Dao được làm ngay tại xưởng trong nước nhưng em thuê in địa chĩ xưởng Đức lên hộp để giả hàng nhập.,CANH_BAO,XUAT_XU_DAO,thuê in địa chỉ xưởng Đức,Chủ động làm giả thông tin nguồn gốc để bán hàng.,CV03_F010,ASR_LIKE,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,Dao được làm ngay tại xưởng trong nước nhưng em thuê in địa chỉ xưởng Đức lên hộp để giả hàng nhập.,Nhiễu ASR giả lập: địa chỉ → địa chĩ; không đổi dấu hiệu quyết định nhãn.,,CANH_BAO,CANH_BAO
CV03_031,"Hộp mực có tem để quét, em chưa tra kết quả nên chưa xác nhận gì về hãng sản xuất nhé.",KHONG_CANH_BAO,CHINH_HANG_HOP_MUC,chưa tra kết quả,Thừa nhận chưa xác minh và chưa khẳng định chính hãng.,CV03_F011,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,Có tem nhưng chưa xác nhận hãng; không gán nhãn theo riêng từ tem hoặc hãng.,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_032,"Hộp mực này là hàng chính hãng, mã xác thực trên tem có thể tra ở trang của nhà sản xuất.",CAN_XAC_MINH,CHINH_HANG_HOP_MUC,là hàng chính hãng,"Tuyên bố chính hãng cần kiểm tra mã, nguồn tra và sản phẩm tương ứng.",CV03_F011,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,Có khẳng định chính hãng; khả năng tra mã chưa chứng minh mã là thật.,CAN_XAC_MINH,CAN_XAC_MINH
CV03_033,Em mua tem của hộp mực thật dán sang hộp nhái rồi quay cận tem để khách tin là hàng của hãng.,CANH_BAO,CHINH_HANG_HOP_MUC,dán sang hộp nhái,Dùng tem thật cho hàng nhái nhằm đánh lừa người mua.,CV03_F011,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_034,"Các bác xem dây cài mũ bảo hiểm em đang luồn qua khóa, chỉnh vừa đầu rồi mới cài nhé.",KHONG_CANH_BAO,CHUNG_NHAN_MU,chỉnh vừa đầu,"Hướng dẫn thao tác đội mũ, không tuyên bố chứng nhận.",CV03_F012,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_035,"Mẫu mũ này đã đạt chứng nhận hợp quy, khách cần đối chiếu số chứng nhận với tên mẫu trên hồ sơ.",CAN_XAC_MINH,CHUNG_NHAN_MU,đạt chứng nhận hợp quy,Khẳng định đạt chứng nhận cần kiểm tra tính hợp lệ và phạm vi mẫu.,CV03_F012,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CAN_XAC_MINH,CAN_XAC_MINH
CV03_036,Giấy hợp quy không có tên mẫu mũ này nên em sửa tên mẫu trong bản chụp trước khi gửi người mua.,CANH_BAO,CHUNG_NHAN_MU,sửa tên mẫu trong bản chụp,Tự thừa nhận sửa chứng từ để giả phạm vi chứng nhận.,CV03_F012,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_037,"Chiếc cân em đang cầm là bản có màn hình rời, chị chọn đúng bản đó rồi xem số tiền trước khi đặt.",KHONG_CANH_BAO,GIA_CAN_DIEN_TU,chọn đúng bản,"Hướng dẫn đối chiếu phân loại và giá, không hứa giảm hay giá thấp nhất.",CV03_F013,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_038,Bản cân có màn hình rời hôm nay giảm hai mươi phần trăm so với giá niêm yết tuần trước.,CAN_XAC_MINH,GIA_CAN_DIEN_TU,giảm hai mươi phần trăm,So sánh giá theo thời điểm cần lịch sử giá đúng phân loại.,CV03_F013,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CAN_XAC_MINH,CAN_XAC_MINH
CV03_039,"Em gắn giá của cục pin lên hình chiếc cân để khách bấm mua, vào thanh toán họ mới biết giá cân cao hơn.",CANH_BAO,GIA_CAN_DIEN_TU,giá của cục pin lên hình chiếc cân,Cố tình dùng giá phụ kiện làm giá mồi cho sản phẩm khác.,CV03_F013,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_040,"Mã sách nào tham gia ưu đãi được đánh dấu trong danh sách, mình kiểm tra tên bộ trước khi thêm vào đơn.",KHONG_CANH_BAO,KHUYEN_MAI_SACH,kiểm tra tên bộ,"Hướng dẫn xem phạm vi chương trình, không bảo đảm nhận ưu đãi.",CV03_F014,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_041,Mua bộ sách bản bìa cứng trong đợt này được hoàn hai mươi nghìn vào ví sàn khi đơn hoàn tất.,CAN_XAC_MINH,KHUYEN_MAI_SACH,được hoàn hai mươi nghìn,"Cam kết quyền lợi khuyến mãi cần kiểm tra điều kiện, thời hạn và đối tượng.",CV03_F014,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,"Hoàn vào ví có điều kiện là quyền lợi cần đối chiếu, không mặc định là lừa đảo.",CAN_XAC_MINH,CAN_XAC_MINH
CV03_042,Bộ sách này bị loại khỏi chương trình hoàn tiền rồi nhưng em vẫn treo thông báo được hoàn để dụ đặt đơn.,CANH_BAO,KHUYEN_MAI_SACH,bị loại; vẫn treo thông báo,Biết không đủ điều kiện nhưng vẫn quảng cáo quyền lợi không có.,CV03_F014,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_043,"Với túi trái cây sấy, mọi người xem ngày hết hạn in ở mép hàn trước khi mở ăn nhé.",KHONG_CANH_BAO,HAN_DUNG_TRAI_CAY,xem ngày hết hạn,"Hướng dẫn đọc hạn dùng, không khẳng định thời gian còn sử dụng.",CV03_F015,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_044,Túi trái cây sấy chưa mở bảo quản được chín tháng ở nơi khô mát theo công bố của xưởng.,CAN_XAC_MINH,HAN_DUNG_TRAI_CAY,bảo quản được chín tháng,Thời hạn bảo quản có điều kiện cần kiểm tra nhãn và căn cứ công bố.,CV03_F015,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,Thời hạn bảo quản chưa mở khác ngày hết hạn cụ thể; cần xem điều kiện.,CAN_XAC_MINH,CAN_XAC_MINH
CV03_045,Túi trái cây đã quá hạn nên em xóa mốc hết hạn bằng dung môi rồi trộn vào lô còn mới để bán tiếp.,CANH_BAO,HAN_DUNG_TRAI_CAY,xóa mốc hết hạn,Cố ý xóa hạn dùng và che giấu hàng quá hạn.,CV03_F015,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_046,"Khi cần gửi máy in đi kiểm tra, chị giữ phiếu mua và mô tả lỗi cho bộ phận tiếp nhận nhé.",KHONG_CANH_BAO,BAO_HANH_MAY_IN,giữ phiếu mua; mô tả lỗi,"Hướng dẫn thủ tục tiếp nhận, không cam kết kết quả hay thời hạn bảo hành.",CV03_F016,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_047,Máy in nhãn được thay đầu in miễn phí trong mười tám tháng nếu lỗi từ nhà sản xuất.,CAN_XAC_MINH,BAO_HANH_MAY_IN,thay đầu in miễn phí trong mười tám tháng,Cam kết bảo hành có điều kiện cần chính sách và phạm vi linh kiện.,CV03_F016,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,"Cam kết thay linh kiện miễn phí cần chính sách, dù đã nêu lỗi từ nhà sản xuất.",CAN_XAC_MINH,CAN_XAC_MINH
